COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
29,4186.67,4184.1,4184.1,4186.15,4183.08,4183.59,4181.54,4181.54,4189.23,4191.28,4242.05,4955.38,4184.62,4191.79,2044,2037,88.143,0,0,0,0,
30,4187.69,4184.62,4181.54,4178.97,4180.51,4180,4179.49,4185.64,4187.69,4191.79,4240,4948.21,4187.69,4191.79,2043,2038,88.151,0,0,0,0,
31,4174.87,4177.95,4185.64,4182.56,4184.1,4182.05,4184.1,4184.1,4181.54,4193.33,4237.95,4946.15,4174.36,4184.1,2044,2037,88.158,0,0,0,0,
32,4194.36,4188.21,4184.62,4183.59,4176.92,4174.36,4172.82,4185.64,4189.23,4194.87,4241.54,4951.79,4193.85,4196.92,2043,2038,88.167,0,0,0,0,
33,4178.97,4176.92,4182.56,4183.08,4183.59,4182.05,4185.64,4185.13,4188.21,4190.26,4236.41,4948.21,4183.59,4187.69,2044,2038,88.174,0,0,0,0,
34,4186.67,4182.05,4187.69,4185.64,4183.08,4185.64,4183.08,4178.97,4184.62,4192.31,4243.59,4951.28,4186.67,4189.23,2045,2038,88.182,0,0,0,0,
35,4187.18,4186.67,4181.54,4180,4178.46,4181.03,4175.38,4181.03,4193.33,4196.41,4244.1,4946.15,4190.26,4191.28,2045,2038,88.19,0,0,0,0,
36,4172.31,4178.97,4183.59,4185.13,4182.56,4182.05,4183.59,4184.1,4189.23,4188.72,4239.49,4949.23,4176.41,4187.18,2044,2037,88.198,0,0,0,0,
37,4193.85,4186.15,4186.15,4186.15,4177.95,4174.36,4174.87,4188.21,4190.26,4186.15,4244.1,4953.33,4195.9,4196.92,2045,2038,88.207,0,0,0,0,
38,4178.46,4177.95,4181.03,4183.08,4183.59,4180.51,4180.51,4187.18,4188.21,4188.21,4239.49,4945.64,4183.08,4184.1,2045,2038,88.215,0,0,0,0,
39,4184.1,4183.08,4185.13,4185.13,4182.56,4183.08,4178.46,4181.54,4186.67,4188.72,4241.54,4950.26,4182.05,4188.21,2044,2039,88.221,0,0,0,0,
40,4192.31,4182.56,4183.08,4182.56,4176.92,4176.92,4176.41,4186.67,4194.87,4190.26,4241.54,4947.18,4190.77,4193.33,2044,2039,88.231,0,0,0,0,
41,4177.44,4172.31,4185.13,4186.15,4184.62,4182.56,4186.15,4185.13,4188.21,4189.74,4239.49,4946.67,4174.36,4184.62,2044,2037,88.238,0,0,0,0,
42,4194.87,4187.69,4188.21,4183.08,4180,4177.44,4172.31,4181.03,4189.23,4191.79,4243.59,4952.82,4189.23,4198.46,2044,2037,88.253,0,0,0,0,
43,4176.92,4180.51,4180,4180,4181.54,4180,4181.03,4184.1,4188.21,4192.31,4236.92,4948.72,4180.51,4189.74,2045,2037,88.259,0,0,0,0,
44,4180,4181.03,4182.56,4187.69,4185.13,4181.03,4184.62,4184.1,4183.59,4190.77,4241.03,4950.77,4182.05,4187.18,2045,2038,88.262,0,0,0,0,
